captureDate,year,latitude,longitude,cu,riverDist,lakeLatitude,captureFL,age,otolithLength,otolithWidth,entryCheckRadius,totalRadius,incrementCount,oceanEntryDate,entryFL,meanGrowth
165,2014,50.36575,-125.6657,Pitt-ES,55,49.43333,140,1,2183.63,1574.4,683.35,773.76,33.33333333,132,120.1539024,0.595382927
165,2014,50.36575,-125.6657,Chilko-S/Chilko-ES,661,51.26667,130,1,2003.68,1430.69,624.03,719.9,33,132,108.601521,0.648438759
165,2014,50.36575,-125.6657,Nadina-Francois-ES,1076,53.95833,120,1,1805.71,1371.49,642.36,719.02,27,138,104.4136173,0.577273433
165,2014,50.36575,-125.6657,Chilko-S/Chilko-ES,661,51.26667,121,1,1964.77,1410.2,591.44,694.95,42,123,98.65358268,0.532057555
165,2014,50.36575,-125.6657,Nadina-Francois-ES,1076,53.95833,138,1,2089.52,1436.24,671.29,746.96,29.66666667,135,120.8255129,0.578915295
165,2014,50.36575,-125.6657,Pitt-ES,55,49.43333,135,1,2164.02,1530.32,679.6,745.86,27.33333333,138,120.3118101,0.537372801
165,2014,50.36575,-125.6657,Chilko-S/Chilko-ES,661,51.26667,115,1,1998.88,1392.33,567.93,643.52,31,134,97.75725331,0.556217635
165,2014,50.36575,-125.6657,Nadina-Francois-ES,1076,53.95833,124,1,1933.35,1462.96,649.66,725.79,27.66666667,137,108.1217487,0.573912696
165,2014,50.36575,-125.6657,Pitt-ES,55,49.43333,124,2,1904.12,1520.86,656.71,744.89,37.66666667,127,106.2854879,0.470296782
165,2014,50.36575,-125.6657,Chilko-S/Chilko-ES,661,51.26667,142,1,1997.88,1498.78,621.23,715.46,33.66666667,131,118.4665648,0.699012927
165,2014,50.36575,-125.6657,Chilko-S/Chilko-ES,661,51.26667,140,1,1985.49,1499.12,651.19,735.61,31.66666667,133,120.0815117,0.629004892
165,2014,50.36575,-125.6657,Lillooet-Harrison-L,185.5,49.9,128,1,2241.14,1574.82,573.76,716.29,48.66666667,116,96.53403659,0.646560892
166,2014,50.42,-125.3050167,Chilliwack-ES,152.07,49.05,138,1,2000.2,1458.8,597.78,717.77,37.66666667,128,109.149892,0.76593207
166,2014,50.42,-125.3050167,Chilko-S/Chilko-ES,661,51.26667,118,1,2001.2,1374.65,566.91,683.23,40.33333333,126,93.00759618,0.619646376
166,2014,50.42,-125.3050167,Chilliwack-ES,152.07,49.05,129,1,2073.13,1507.32,609.5,733.81,42,124,102.2584541,0.636703473
166,2014,50.42,-125.3050167,Pitt-ES,55,49.43333,133,1,NA,1555.63,684.85,762.7,25,141,116.5741867,0.657032532
166,2014,50.42,-125.3050167,Nadina-Francois-ES,1076,53.95833,134,1,2125.91,1504.02,675.26,727.3,22,144,122.1407349,0.539057505
166,2014,50.42,-125.3050167,Nadina-Francois-ES,1076,53.95833,126,1,2086.83,1451.18,636.91,711.94,35,131,109.5963551,0.468675568
166,2014,50.42,-125.3050167,Pitt-ES,55,49.43333,140,2,2028.14,1491.98,632.77,734.72,29,137,115.9033103,0.830920336
166,2014,50.29025,-125.31695,Chilliwack-ES,152.07,49.05,124,1,2180.07,1604.91,658.81,774.91,40,126,101.9521889,0.551195278
166,2014,50.22471667,-125.38995,Nadina-Francois-ES,1076,53.95833,120,1,NA,1404.64,581.53,659.96,30,136,101.8835303,0.603882324
166,2014,50.22471667,-125.38995,Lillooet-Harrison-L,185.5,49.9,126,1,2187.1,1539.42,606.21,751.33,41.66666667,124,96.65168789,0.704359491
166,2014,50.22471667,-125.38995,Chilliwack-ES,152.07,49.05,132,1,2096.08,1470.56,631.95,730.52,34,132,110.0712424,0.64496346
166,2014,50.22471667,-125.38995,Chilko-S/Chilko-ES,661,51.26667,125,2,1951.57,1477.91,606.76,706.98,42,124,103.0715356,0.522106295
166,2014,50.22471667,-125.38995,Lillooet-Harrison-L,185.5,49.9,151,1,2510.02,1659.17,672.87,801.86,39.66666667,126,121.6028417,0.741104832
166,2014,50.22471667,-125.38995,Chilko-S/Chilko-ES,661,51.26667,127,2,2049.93,1443.03,601.01,682.65,33,133,107.8276063,0.580981628
166,2014,50.22471667,-125.38995,Pitt-ES,55,49.43333,123,1,2170.49,1408.18,607.53,714.93,44,122,100.3219561,0.515410088
170,2014,50.19673333,-125.3576833,Chilko-S/Chilko-ES,661,51.26667,137,2,2505.85,1660.17,830.19,879.48,29,141,128.156945,0.304932932
170,2014,50.19673333,-125.3576833,Lillooet-Harrison-L,185.5,49.9,118,1,2192.58,1524.52,670.56,762.05,33,137,101.2329492,0.50809245
170,2014,50.30256667,-125.3093,Lillooet-Harrison-L,185.5,49.9,111,1,1978.3,1432.24,624.3,739.3,43,127,90.55854276,0.475382726
170,2014,50.30256667,-125.3093,Chilko-S/Chilko-ES,661,51.26667,104,1,1916.36,1497.39,631.44,710.31,33.66666667,136,90.28149574,0.407480325
170,2014,50.30256667,-125.3093,Lillooet-Harrison-L,185.5,49.9,126,1,2169.94,1501.89,645.65,724.51,39.33333333,131,109.1937446,0.427277681
170,2014,50.30256667,-125.3093,Lillooet-Harrison-L,185.5,49.9,175,2,2974.21,2103.95,973.47,1028.38,20,150,164.3763199,0.531184003
170,2014,50.30256667,-125.3093,Lillooet-Harrison-L,185.5,49.9,122,1,2219.47,1407.7,601.91,687.35,38.33333333,132,103.0655997,0.493940879
170,2014,50.30256667,-125.3093,Lillooet-Harrison-L,185.5,49.9,103,1,1862.21,1407.25,668.64,741.48,29.66666667,140,91.23775588,0.396480139
170,2014,50.30256667,-125.3093,Lillooet-Harrison-L,185.5,49.9,113,1,2083.74,1425.22,586.5,699.86,45.33333333,125,90.69449542,0.492033189
170,2014,50.30256667,-125.3093,Chilko-S/Chilko-ES,661,51.26667,122,1,2187.91,1551.25,621.55,723.4,33,137,101.0648492,0.634398509
170,2014,50.30256667,-125.3093,Chilliwack-ES,152.07,49.05,119,1,1925.19,1459.45,606.62,713.51,38.66666667,131,97.24093126,0.562734536
170,2014,50.30256667,-125.3093,Lillooet-Harrison-L,185.5,49.9,114,1,2162.18,1428.46,650.73,744.78,41.66666667,128,96.9151625,0.4100361
170,2014,50.30256667,-125.3093,Chilko-S/Chilko-ES,661,51.26667,122,1,2191.93,1536.08,647.84,755.73,33,137,101.1768003,0.631006053
170,2014,50.3974,-125.3402,Chilliwack-ES,152.07,49.05,120,1,2078.71,1455.63,604.02,732.17,46.33333333,124,94.62165676,0.547734027
170,2014,50.3974,-125.3402,Chilko-S/Chilko-ES,661,51.26667,115,1,1930.36,1366.31,587.67,677.49,35.66666667,134,96.05283218,0.531229004
170,2014,50.3974,-125.3402,Chilliwack-ES,152.07,49.05,110,1,1845.59,1353.73,566.79,666.45,44.33333333,126,89.58152253,0.460567161
171,2014,50.46626667,-126.0479833,Chilliwack-ES,152.07,49.05,127,1,1979.71,1451.23,555.84,665.91,44,127,100.1674506,0.609830668
171,2014,50.46626667,-126.0479833,Chilliwack-ES,152.07,49.05,116,1,1977.2,1445.78,595.26,720.12,41.33333333,130,91.68095523,0.588363986
171,2014,50.46626667,-126.0479833,Chilliwack-ES,152.07,49.05,123,1,2075.76,1423.9,586.36,732.26,46,125,93.24707463,0.646802726
171,2014,50.46626667,-126.0479833,Nadina-Francois-ES,1076,53.95833,118,1,2111.58,1433.87,672.49,740.94,29,142,104.9411427,0.450305426
171,2014,50.42453333,-126.0092,Chilko-S/Chilko-ES,661,51.26667,122,1,2068.82,1418.24,625.93,720.67,35,136,102.4188295,0.559462014
171,2014,50.42453333,-126.0092,Chilko-S/Chilko-ES,661,51.26667,132,1,2331.59,1538.62,720.24,771.73,23.5,148,121.410079,0.450634937
171,2014,50.42453333,-126.0092,Chilko-S/Chilko-ES,661,51.26667,138,1,2092.4,1481.02,616.09,708.09,35,136,115.4355826,0.644697641
171,2014,50.42453333,-126.0092,Lillooet-Harrison-L,185.5,49.9,134,1,2166.96,1633.19,650.57,755.17,41.66666667,129,111.4184024,0.541958342
171,2014,50.42453333,-126.0092,Lillooet-Harrison-L,185.5,49.9,136,1,2289.15,1652.5,660.45,773.26,47,124,112.0387487,0.509813858
171,2014,50.42453333,-126.0092,Chilliwack-ES,152.07,49.05,123,1,2005.11,1439.7,577.19,708.07,51,120,94.97076939,0.549592757
171,2014,50.42453333,-126.0092,Chilko-S/Chilko-ES,661,51.26667,147,1,2172.23,1462.2,561.52,690.25,40.33333333,131,111.7181363,0.87475695
171,2014,50.42453333,-126.0092,Pitt-ES,55,49.43333,137,1,2198.16,1502.23,614.79,708.47,35,136,114.2358008,0.650405692
171,2014,50.42453333,-126.0092,Pitt-ES,55,49.43333,142,1,2139.83,1582.92,667.61,761.8,35,136,120.5110384,0.61397033
171,2014,50.42453333,-126.0092,Chilko-S/Chilko-ES,661,51.26667,137,1,2235.78,1572.56,628.54,763.34,47,124,107.5885436,0.625775669
171,2014,50.42453333,-126.0092,Nadina-Francois-ES,1076,53.95833,133,1,1966.44,1530.21,659.75,705.78,19.33333333,152,122.1357764,0.5619426
171,2014,50.42453333,-126.0092,Chilko-S/Chilko-ES,661,51.26667,143,1,2108.48,1625.12,632.82,719.96,33,138,121.2591028,0.658815068
171,2014,50.2876,-125.3580667,Lillooet-Harrison-L,185.5,49.9,116,1,2090.26,1415.98,601.29,691.64,44.33333333,127,97.32616614,0.421214298
171,2014,50.2876,-125.3580667,Lillooet-Harrison-L,185.5,49.9,105,1,2068.49,1383.95,604.92,694.65,36.33333333,135,88.67953654,0.449187068
171,2014,50.2876,-125.3580667,Chilliwack-ES,152.07,49.05,107,1,2088.89,1366.56,580.48,690.55,46.33333333,125,86.32944398,0.446127108
171,2014,50.2876,-125.3580667,Chilliwack-ES,152.07,49.05,116,1,2033.5,1427.22,558.57,703.69,50,121,86.76273567,0.584745287
171,2014,50.2876,-125.3580667,Lillooet-Harrison-L,185.5,49.9,115,1,2198.29,1448.8,656.71,734.48,31.66666667,139,100.4334196,0.459997276
171,2014,50.2876,-125.3580667,Chilliwack-ES,152.07,49.05,109,1,2106.17,1372.4,587.08,694.73,41.33333333,130,88.50486207,0.495850111
171,2014,50.2876,-125.3580667,Chilko-S/Chilko-ES,661,51.26667,112,1,1848.21,1389.63,596.95,676.91,32,139,95.64305427,0.511154554
171,2014,50.2876,-125.3580667,Chilliwack-ES,152.07,49.05,117,1,1898.13,1466.62,608.27,700.33,36,135,98.1272439,0.524243225
171,2014,50.2876,-125.3580667,Chilko-S/Chilko-ES,661,51.26667,108,1,1952.67,1384.16,596.54,680.9,28,143,91.63612574,0.584424081
179,2014,50.17813333,-125.33725,Chilliwack-ES,152.07,49.05,141,1,2398.18,1603.3,611.69,768.86,50.33333333,129,105.8983333,0.697384107
179,2014,50.30535,-125.3175833,Nadina-Francois-ES,1076,53.95833,133,1,2157.75,1495.38,684.17,748.25,31,148,119.1054683,0.448210701
180,2014,50.45215,-126.0875333,Chilliwack-ES,152.07,49.05,113,1,2057.9,1479.94,598.07,724.04,45,135,89.41666774,0.52407405
180,2014,50.36871667,-125.6455333,Chilko-S/Chilko-ES,661,51.26667,136,1,2208.76,1488.87,573.36,693.83,45.33333333,135,106.067262,0.660280984
180,2014,50.30511667,-125.3170167,Chilliwack-ES,152.07,49.05,107,1,2030.27,1397.4,565.34,695.79,46.25,134,82.77543583,0.52377436
185,2014,50.46231667,-125.07745,Nadina-Francois-ES,1076,53.95833,142,1,2186.37,1563.14,699.15,824.24,47,138,116.4400214,0.543829332
185,2014,50.47411667,-126.0723167,Chilliwack-ES,152.07,49.05,131,1,2175.07,1489.06,570.92,764.07,58,127,91.06838144,0.688476182
186,2014,50.45345,-126.0924,Chilko-S/Chilko-ES,661,51.26667,136,1,2295.8,1551.13,658.29,779.32,49.33333333,137,110.5743382,0.515385037
145,2015,50.30486667,-125.3325,Quesnel-S,736,52.51667,101,1,1936,1344,625,676,18.33,127,91.7928,0.502302237
145,2015,50.30486667,-125.3325,Chilko-S/Chilko-ES,661,51.26667,105,1,1754,1387,583,643,23,122,92.7352518,0.533249922
145,2015,50.30486667,-125.3325,Shuswap-L,524,50.89,98,1,1936,1314,571,637,23.67,121,85.43591241,0.53080218
145,2015,50.30486667,-125.3325,Shuswap-L,524,50.89,102,1,1790,1413,606,669,27,118,90.30446953,0.433167795
145,2015,50.30486667,-125.3325,Pitt-ES,55,49.43333,100,1,2018,1338,585,644,23,122,88.67425837,0.492423549
145,2015,50.30486667,-125.3325,Chilko-S/Chilko-ES,661,51.26667,101,1,1737,1364,594,656,25,120,89.28632558,0.468546977
145,2015,50.30486667,-125.3325,Quesnel-S,736,52.51667,97,1,1802,1258,574,630,20,125,86.29346535,0.535326733
145,2015,50.30486667,-125.3325,Quesnel-S,736,52.51667,108,1,1969,1416,642,699,19,126,97.36642706,0.559661734
145,2015,50.30486667,-125.3325,Nadina-Francois-ES,1076,53.95833,111,1,1837,1372,645,668,11,134,106.2522172,0.431616619
145,2015,50.30486667,-125.3325,Shuswap-L,524,50.89,112,1,1883,1337,614,661,16.67,128,102.0338391,0.597850085
145,2015,50.30486667,-125.3325,Lillooet-Harrison-L,185.5,49.9,109,1,2134,1432,730,768,14,131,102.743321,0.44690564
145,2015,50.30486667,-125.3325,Quesnel-S,736,52.51667,119,1,2080,1477,635,710,22.67,122,103.6219008,0.678345795
145,2015,50.30486667,-125.3325,Quesnel-S,736,52.51667,103,1,1783,1332,595,653,22.33,123,91.69339578,0.506341434
145,2015,50.30486667,-125.3325,Quesnel-S,736,52.51667,101,1,1937,1388,631,683,17,128,91.75606127,0.543761102
145,2015,50.30486667,-125.3325,Quesnel-S,736,52.51667,136,1,2121,1496,619,702,27,118,115.7312605,0.750694055
145,2015,50.28671667,-125.3614333,Chilko-S/Chilko-ES,661,51.26667,94,1,1639,1221,544,624,29.67,115,79.07738693,0.502952918
145,2015,50.28671667,-125.3614333,Shuswap-L,524,50.89,111,1,2029,1433,671,711,18,127,103.4750515,0.418052692
145,2015,50.28671667,-125.3614333,Francois-Fraser-S,986,54.05833,99,1,1891,1357,643,666,8,137,94.85790909,0.517761364
145,2015,50.28671667,-125.3614333,Quesnel-S,736,52.51667,102,1,1975,1380,623,659,13,132,95.16249423,0.525961983
145,2015,50.28671667,-125.3614333,Quesnel-S,736,52.51667,115,1,1953,1467,645,665,9,136,110.6610478,0.482105796
145,2015,50.28671667,-125.3614333,Quesnel-S,736,52.51667,92,1,1749,1280,590,628,16,129,85.17134328,0.426791045
145,2015,50.28671667,-125.3614333,Quesnel-S,736,52.51667,102,1,1973,1296,557,647,34,111,84.41900238,0.517088165
145,2015,50.28671667,-125.3614333,Quesnel-S,736,52.51667,108,1,1981,1344,577,635,22,123,95.48674817,0.568784174
145,2015,50.28671667,-125.3614333,Chilko-S/Chilko-ES,661,51.26667,109,1,1946,1343,552,631,29.67,115,91.59269136,0.586697292
145,2015,50.28671667,-125.3614333,Quesnel-S,736,52.51667,96,1,1729,1280,591,641,17,128,86.81445783,0.54032601
145,2015,50.28671667,-125.3614333,Lillooet-Harrison-L,185.5,49.9,107,1,1993,1396,617,656,17,128,99.08753488,0.465439124
145,2015,50.3537,-125.3821833,Chilko-S/Chilko-ES,661,51.26667,104,1,1894,1244,521,595,29,116,87.10634146,0.58253995
145,2015,50.3537,-125.3821833,Shuswap-L,524,50.89,99,1,1756,1283,539,611,32.33,113,84.18109091,0.45836403
145,2015,50.3537,-125.3821833,Quesnel-S,736,52.51667,95,1,1746,1321,541,600,26,119,83.13058824,0.456515837
145,2015,50.3537,-125.3821833,Chilko-S/Chilko-ES,661,51.26667,102,1,1740,1303,584,661,24,121,87.44257471,0.606559387
145,2015,50.3537,-125.3821833,Chilko-S/Chilko-ES,661,51.26667,103,1,1702,1271,539,616,28,117,86.5654359,0.586948718
